"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
22335__2509__53322.jpg,19.4-2509,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-2509/22335__2509__53322.jpg,0,Green,* * * * ,green,"R5.L2.M5.P5.H2 N5.Y5.T5.A5.J5
country=nan",s4 m3.80 r5.00 v2.70
74506__2625__60547.jpg,20.8-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.8-2625/74506__2625__60547.jpg,1,Purple,* * * * ,purple,"R5.L2.M5.P3.H5 N3.Y4.T4.A4.J4
country=NO",POTY - Sixth Place
92865__5944__56829.jpg,19.2-5944,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.2-5944/92865__5944__56829.jpg,0,Grey,* * * * * ,white,"R5.L5.M5.P3.H4 N3.Y4.T5.A4.J4
country=US",s5 m4.40 r5.00 v0.80
05506__2625__60550.jpg,20.8-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.8-2625/05506__2625__60550.jpg,1,Purple,* * * ,purple,"R4.L3.M4.P5.H5 N3.Y5.T5.A5.J5
country=NO",POTY - Sixth Place
88595__2625__59588.jpg,20.8-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.8-2625/88595__2625__59588.jpg,1,Purple,* * * ,purple,"R5.L3.M5.P3.H4 N3.Y4.T4.A4.J4
country=NO",POTY - Sixth Place
35555__2198__55553.jpg,19.0-2198,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.0-2198/35555__2198__55553.jpg,0,Green,* * * ,green,"R5.L3.M4.P5.H4 N5.Y5.T5.A5.J5
country=AU",s3 m4.20 r4.67 v0.70
04726__1821__62740.jpg,19.4-1821,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-1821/04726__1821__62740.jpg,0,Grey,* * * ,white,"R5.L5.M4.P3.H2 N4.Y4.T5.A4.J4
country=nan",s3 m3.80 r4.67 v1.70
85306__3652__60358.jpg,19.8-3652,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-3652/85306__3652__60358.jpg,0,Blue,* * * ,blue,"R5.L3.M5.P1.H1 N3.Y4.T3.A4.J4
country=CZ",s3 m3.00 r4.33 v4.00
15306__3652__60351.jpg,19.8-3652,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-3652/15306__3652__60351.jpg,0,Blue,* * ,blue,"R4.L3.M3.P5.H4 N4.Y4.T4.A4.J4
country=CZ",s2 m3.80 r4.33 v0.70
09716__6113__61790.jpg,19.5-6113,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.5-6113/09716__6113__61790.jpg,0,Green,* * ,green,"R4.L5.M3.P2.H4 N4.Y4.T4.A4.J4
country=CZ",s2 m3.60 r4.33 v1.30
12695__2625__59621.jpg,20.8-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.8-2625/12695__2625__59621.jpg,1,Purple,* * * ,purple,"R5.L2.M5.P3.H3 N3.Y4.T4.A5.J4
country=NO",POTY - Sixth Place
09775__5962__57790.jpg,19.4-5962,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-5962/09775__5962__57790.jpg,0,Grey,* * ,white,"R3.L4.M4.P3.H5 N3.Y5.T3.A5.J5
country=FR",s2 m3.80 r4.33 v0.70
90785__2709__58709.jpg,20.6-2709,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.6-2709/90785__2709__58709.jpg,0,Green,* * ,green,"R4.L3.M5.P2.H4 N3.Y4.T4.A4.J4
country=CZ",s2 m3.60 r4.33 v1.30
60785__2709__58706.jpg,20.6-2709,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.6-2709/60785__2709__58706.jpg,0,Green,* * ,green,"R5.L1.M4.P2.H4 N3.Y4.T4.A4.J4
country=CZ",s2 m3.20 r4.33 v2.70
35206__4360__60253.jpg,19.8-4360,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-4360/35206__4360__60253.jpg,1,Purple,* * * ,purple,"R5.L1.M5.P3.H1 N2.Y4.T3.A4.J4
country=AU",POTY - Winner
53206__4360__60235.jpg,19.8-4360,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-4360/53206__4360__60235.jpg,0,Yellow,* * * ,yellow,"R5.L5.M3.P2.H1 N2.Y4.T4.A4.J4
country=AU",s3 m3.20 r4.33 v3.20
07585__670__58570.jpg,20.0-670,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.0-670/07585__670__58570.jpg,1,Purple,* * ,purple,"R5.L4.M3.P4.H2 N4.Y5.T4.A5.J5
country=CA",POTY - Third Place
64045__5815__54046.jpg,21.8-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/21.8-5815/64045__5815__54046.jpg,1,Purple,* * ,purple,"R5.L4.M4.P4.H2 N3.Y4.T4.A4.J4
country=nan",POTY - Runner Up
10685__5815__58601.jpg,21.8-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/21.8-5815/10685__5815__58601.jpg,1,Purple,* * ,purple,"R5.L4.M4.P2.H4 N5.Y5.T4.A4.J5
country=nan",POTY - Runner Up
90885__2832__58809.jpg,19.1-2832,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.1-2832/90885__2832__58809.jpg,0,Green,* * ,green,"R4.L5.M0.P4.H3 N3.Y4.T4.A4.J4
country=US",s2 m3.20 r4.33 v3.70
35306__3652__60353.jpg,19.8-3652,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-3652/35306__3652__60353.jpg,0,Blue,* ,blue,"R4.L3.M4.P3.H4 N3.Y4.T4.A4.J4
country=CZ",s1 m3.60 r4.00 v0.30
31185__2972__58113.jpg,19.9-2972,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.9-2972/31185__2972__58113.jpg,0,Green,* * ,green,"R3.L2.M4.P5.H2 N3.Y4.T4.A4.J4
country=IS",s2 m3.20 r4.00 v1.70
21185__2972__58112.jpg,19.9-2972,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.9-2972/21185__2972__58112.jpg,0,Green,* ,green,"R4.L2.M4.P3.H4 N3.Y4.T3.A4.J4
country=IS",s1 m3.40 r4.00 v0.80
74926__6113__62947.jpg,19.5-6113,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.5-6113/74926__6113__62947.jpg,1,Purple,* * ,purple,"R3.L3.M5.P3.H4 N4.Y4.T3.A4.J4
country=CZ",POTY - Fifth Place
78775__5962__57787.jpg,19.4-5962,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-5962/78775__5962__57787.jpg,0,Green,* ,green,"R1.L4.M4.P3.H4 N3.Y4.T4.A4.J4
country=FR",s1 m3.20 r4.00 v1.70
19775__5962__57791.jpg,19.4-5962,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-5962/19775__5962__57791.jpg,0,Red,* * ,red,"R1.L5.M3.P3.H4 N3.Y5.T5.A5.J5
country=FR",s2 m3.20 r4.00 v2.20
11785__2709__58711.jpg,20.6-2709,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.6-2709/11785__2709__58711.jpg,0,Green,* ,green,"R4.L3.M4.P2.H4 N4.Y4.T4.A4.J4
country=CZ",s1 m3.40 r4.00 v0.80
75146__1375__64157.jpg,19.8-1375,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.8-1375/75146__1375__64157.jpg,0,Green,* ,green,"R2.L4.M4.P4.H2 N3.Y4.T2.A4.J4
country=US",s1 m3.20 r4.00 v1.20
36585__670__58563.jpg,20.0-670,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.0-670/36585__670__58563.jpg,1,Purple,* * ,purple,"R4.L2.M3.P2.H5 N4.Y4.T3.A4.J4
country=CA",POTY - Third Place
49785__5815__58794.jpg,21.8-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/21.8-5815/49785__5815__58794.jpg,1,Purple,* ,purple,"R4.L4.M1.P4.H4 N4.Y5.T5.A4.J5
country=nan",POTY - Runner Up
20685__5815__58602.jpg,21.8-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/21.8-5815/20685__5815__58602.jpg,1,Purple,* * * ,purple,"R5.L2.M5.P1.H2 N3.Y4.T5.A3.J4
country=nan",POTY - Runner Up
54726__1821__62745.jpg,19.4-1821,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-1821/54726__1821__62745.jpg,0,Blue,* * * ,blue,"R5.L2.M5.P2.H1 N3.Y4.T4.A4.J4
country=nan",s3 m3.00 r4.00 v3.50
49595__3938__59594.jpg,19.3-3938,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.3-3938/49595__3938__59594.jpg,0,Green,* * ,green,"R3.L5.M3.P2.H4 N5.Y5.T5.A4.J5
country=nan",s2 m3.40 r4.00 v1.30
32335__2509__53323.jpg,19.4-2509,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.4-2509/32335__2509__53323.jpg,0,Grey,,white,"R4.L4.M3.P2.H2 N3.Y4.T4.A4.J4
country=nan",s0 m3.00 r3.67 v1.00
71185__2972__58117.jpg,19.9-2972,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.9-2972/71185__2972__58117.jpg,0,Green,* ,green,"R4.L2.M3.P3.H4 N3.Y4.T5.A4.J4
country=IS",s1 m3.20 r3.67 v0.70
39716__6113__61793.jpg,19.5-6113,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/19.5-6113/39716__6113__61793.jpg,1,Purple,* ,purple,"R4.L3.M3.P2.H4 N4.Y4.T4.A4.J4
country=CZ",POTY - Fifth Place
70785__2709__58707.jpg,20.6-2709,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/portfolio/20.6-2709/70785__2709__58707.jpg,0,Green,* * ,green,"R3.L2.M5.P2.H3 N2.Y4.T4.A4.J4
country=CZ",s2 m3.00 r3.67 v1.50
